Bug编号,所属产品,所属模块,所属项目,相关需求,相关任务,Bug标题,关键词,严重程度,优先级,Bug类型,用例关联,所属环境,重现步骤,Bug状态,截止日期,激活次数,是否确认,抄送给,由谁创建,创建日期,影响版本,指派给,指派日期,解决者,解决方案,解决版本,解决日期,由谁关闭,关闭日期,重复ID,相关Bug,相关用例,最后修改者,修改日期,附件
9279,育肥-投苗管理,/投苗申请,养殖项目2.0,,,投苗申请单，点击栏舍洗消，跳转防非记录，审核通过后，没有任何得分，投苗申请单显示未发起,,一般,3,,,221环境,"<img src=““{15840.png}““ alt=““““ />
<img src=““{15842.png}““ alt=““““ />
<img src=““{15843.png}““ alt=““““ />
",激活,0000-00-00,0,否,,李亚炜,2021/12/2,主干,黄壁生（金蝶）,2021/12/2,,,,0000-00-00,,0000-00-00,0,,,李亚炜,2021/12/2,
9278,繁殖-猪只档案,/后裔档案,养殖项目2.0,,,【后裔档案】出生场代码字段逻辑修改，具体看截图,,一般,3,页面控件与业务功能实现,用例外,生产环境,"[步骤]
<img src=““{15839.png}““ alt=““““ />




[期望]

",激活,0000-00-00,0,否,,赖冈辉,2021/12/2,主干,林海结（金蝶）,2021/12/2,,,,0000-00-00,,0000-00-00,0,,,,0000-00-00,
9277,繁殖-猪只档案,/批次档案,养殖项目2.0,,,【批次档案】从后裔档案跳转到哺乳仔猪批次档案，不应该显示猪只列表,,一般,3,页面表现与数据输入校验,,,"[步骤]


[结果]<img src=““{15838.png}““ alt=““““ />




[期望]

",激活,0000-00-00,0,否,,杜林霏,2021/12/2,主干,毛家伟（金蝶）,2021/12/2,,,,0000-00-00,,0000-00-00,0,,,,0000-00-00,
9276,邦购销APP,/种猪采购/外部种源场准入,养殖项目2.0,,,【外部种源场准入】app端上传了图片，但保存提交后，详情里面没有照片,,一般,3,逻辑关系与数据处理,用例内,,"
",激活,0000-00-00,0,否,,张亚群,2021/12/2,主干,邱世平(嘉瑞),2021/12/2,,,,0000-00-00,,0000-00-00,0,,,,0000-00-00,
9275,繁殖-死淘管理,/淘汰申请单,养殖项目2.0,,,【淘汰申请】审核后，猪只做完上市计划且完成销售单审核后，猪只的种猪档案在场状态以及最新业务未回写,,一般,3,,,,"

<img src=““{15837.png}““ alt=““““ />
",激活,0000-00-00,0,否,,魏倩,2021/12/2,主干,付丽华,2021/12/2,,,,0000-00-00,,0000-00-00,0,,,,0000-00-00,
9274,育肥-投苗管理,/人员认证,养殖项目2.0,,,人员认证，得分10分也可以认证通过,,一般,3,,,221环境,"<img src=““{15834.png}““ alt=““““ /><img src=““{15836.png}““ alt=““““ />



",激活,0000-00-00,0,否,,李亚炜,2021/12/2,主干,黄壁生（金蝶）,2021/12/2,,,,0000-00-00,,0000-00-00,0,,,,0000-00-00,
9273,邦养宝,/生物安全/栏舍洗消验收,养殖项目2.0,,,栏舍洗消方案提交报错,,一般,3,页面表现与数据输入校验,,,"<img src=““{15833.png}““ alt=““““ />

",激活,0000-00-00,0,否,,罗洪浪,2021/12/2,主干,包权（金蝶）,2021/12/2,,,,0000-00-00,,0000-00-00,0,,,,0000-00-00,
9272,公共-猪只变动,/猪只调出单,养殖项目2.0,,,【猪只调出单】怀孕母猪跨财务组织调出单审核后，猪的在场状态还是在场,,严重,2,逻辑关系与数据处理,,,"[步骤]


[结果]<img src=““{15831.png}““ alt=““““ />
<img src=““{15832.png}““ alt=““““ />




[期望]

",激活,0000-00-00,0,否,,杜林霏,2021/12/2,主干,尹清渝（金蝶）,2021/12/2,,,,0000-00-00,,0000-00-00,0,,,姚锐东（金蝶）,2021/12/2,
9271,邦养宝,/,养殖项目2.0,,,投苗申请 养户保证金余额没带出来,,一般,3,页面表现与数据输入校验,,其他环境,"[步骤]


[结果]
<img src=““{15830.png}““ alt=““““ />

[期望]

",激活,0000-00-00,0,否,,林加嘉,2021/12/2,主干,张鹤耀(嘉瑞),2021/12/2,,,,0000-00-00,,0000-00-00,0,,,,0000-00-00,
9269,邦养宝,/,养殖项目2.0,,,养户档案中的养户评分计算出错,,一般,3,页面表现与数据输入校验,,221环境,"[步骤]


[结果]
<img src=““{15826.png}““ alt=““““ />
<img src=““{15827.png}““ alt=““““ />
[期望]

",激活,0000-00-00,0,否,,林加嘉,2021/12/2,主干,张鹤耀(嘉瑞),2021/12/2,,,,0000-00-00,,0000-00-00,0,,,,0000-00-00,
9265,育肥-养户管理,/养户开户,养殖项目2.0,,,【养户开户】契约锁返回的附件，不要压缩，直接存储PDF文件。,,一般,3,页面控件与业务功能实现,用例内,221环境,"<img src=““{15821.png}““ alt=““““ />

",激活,0000-00-00,0,否,,曾能,2021/12/2,主干,包权（金蝶）,2021/12/2,,,,0000-00-00,,0000-00-00,0,,,,0000-00-00,
